[2025-02-12 09:25:04] [ERROR] SQLSTATE[42601]: Syntax error: 7 ERROR:  syntax error at or near "count"
LINE 1: count(*) as count from events where status = 'en attente'
        ^ {"file":"\/var\/www\/html\/collab\/app\/Models\/Event.php","line":180,"trace":"#0 \/var\/www\/html\/collab\/app\/Models\/Event.php(180): PDOStatement->execute()\n#1 \/var\/www\/html\/collab\/app\/Controllers\/DashboardController.php(44): App\\Models\\Event::getPendingEvent()\n#2 \/var\/www\/html\/collab\/app\/Controllers\/DashboardController.php(63): App\\Controllers\\DashboardController->PendingEvent()\n#3 \/var\/www\/html\/collab\/app\/Core\/Router.php(84): App\\Controllers\\DashboardController->dashboard()\n#4 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#5 {main}"}
[2025-02-12 11:50:42] [ERROR] Unable to find template "Admin/edit-user.twig" (looked into: /var/www/html/collab/app/Core/../views). {"file":"\/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php","line":227,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php(131): Twig\\Loader\\FilesystemLoader->findTemplate()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(261): Twig\\Loader\\FilesystemLoader->getCacheKey()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->getTemplateClass()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#4 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#5 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#6 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#7 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#8 {main}"}
[2025-02-12 11:51:18] [ERROR] Unable to find template "Admin/editUser.twig" (looked into: /var/www/html/collab/app/Core/../views). {"file":"\/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php","line":227,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php(131): Twig\\Loader\\FilesystemLoader->findTemplate()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(261): Twig\\Loader\\FilesystemLoader->getCacheKey()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->getTemplateClass()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#4 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#5 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#6 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#7 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#8 {main}"}
[2025-02-12 11:51:19] [ERROR] Unable to find template "Admin/editUser.twig" (looked into: /var/www/html/collab/app/Core/../views). {"file":"\/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php","line":227,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php(131): Twig\\Loader\\FilesystemLoader->findTemplate()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(261): Twig\\Loader\\FilesystemLoader->getCacheKey()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->getTemplateClass()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#4 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#5 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#6 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#7 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#8 {main}"}
[2025-02-12 11:51:24] [ERROR] Unable to find template "Admin/editUser.twig" (looked into: /var/www/html/collab/app/Core/../views). {"file":"\/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php","line":227,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php(131): Twig\\Loader\\FilesystemLoader->findTemplate()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(261): Twig\\Loader\\FilesystemLoader->getCacheKey()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->getTemplateClass()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#4 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#5 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#6 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#7 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#8 {main}"}
[2025-02-12 11:52:33] [ERROR] A template that extends another one cannot include content outside Twig blocks. Did you forget to put the content inside a {% block %} tag? {"file":"\/var\/www\/html\/collab\/app\/views\/Admin\/editUsers.twig","line":2,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(342): Twig\\Parser->filterBodyNodes()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(86): Twig\\Parser->filterBodyNodes()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(479): Twig\\Parser->parse()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(507): Twig\\Environment->parse()\n#4 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(348): Twig\\Environment->compileSource()\n#5 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->loadTemplate()\n#6 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#7 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#8 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#9 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#10 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#11 {main}"}
[2025-02-12 13:56:29] [ERROR] A template that extends another one cannot include content outside Twig blocks. Did you forget to put the content inside a {% block %} tag? {"file":"\/var\/www\/html\/collab\/app\/views\/Admin\/editUsers.twig","line":3,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(342): Twig\\Parser->filterBodyNodes()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(86): Twig\\Parser->filterBodyNodes()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(479): Twig\\Parser->parse()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(507): Twig\\Environment->parse()\n#4 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(348): Twig\\Environment->compileSource()\n#5 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->loadTemplate()\n#6 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#7 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#8 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#9 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#10 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#11 {main}"}
[2025-02-12 13:57:20] [ERROR] Unexpected token "end of template" ("end of statement block" expected). {"file":"\/var\/www\/html\/collab\/app\/views\/Admin\/editUsers.twig","line":6,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/TokenParser\/BlockTokenParser.php(60): Twig\\TokenStream->expect()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(171): Twig\\TokenParser\\BlockTokenParser->parse()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(84): Twig\\Parser->subparse()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(479): Twig\\Parser->parse()\n#4 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(507): Twig\\Environment->parse()\n#5 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(348): Twig\\Environment->compileSource()\n#6 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->loadTemplate()\n#7 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#8 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#9 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#10 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#11 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#12 {main}"}
[2025-02-12 13:59:13] [ERROR] A template that extends another one cannot include content outside Twig blocks. Did you forget to put the content inside a {% block %} tag? {"file":"\/var\/www\/html\/collab\/app\/views\/Admin\/editUsers.twig","line":2,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(342): Twig\\Parser->filterBodyNodes()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(86): Twig\\Parser->filterBodyNodes()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(479): Twig\\Parser->parse()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(507): Twig\\Environment->parse()\n#4 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(348): Twig\\Environment->compileSource()\n#5 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->loadTemplate()\n#6 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#7 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#8 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#9 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#10 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#11 {main}"}
[2025-02-12 13:59:25] [ERROR] Unable to find template "Admin/layout.twig" (looked into: /var/www/html/collab/app/Core/../views) in "Admin/editUsers.twig" at line 1. {"file":"\/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php","line":227,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Loader\/FilesystemLoader.php(131): Twig\\Loader\\FilesystemLoader->findTemplate()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(261): Twig\\Loader\\FilesystemLoader->getCacheKey()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Template.php(319): Twig\\Environment->getTemplateClass()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(358) : eval()'d code(37): Twig\\Template->loadTemplate()\n#4 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Template.php(394): __TwigTemplate_c4b678b98178d64494a1101dadbfd18eca9887f76e18e10702a7084ddf66a5f3->doDisplay()\n#5 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Template.php(367): Twig\\Template->displayWithErrorHandling()\n#6 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Template.php(379): Twig\\Template->display()\n#7 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/TemplateWrapper.php(40): Twig\\Template->render()\n#8 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\TemplateWrapper->render()\n#9 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#10 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#11 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#12 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#13 {main}"}
[2025-02-12 13:59:57] [ERROR] A template that extends another one cannot include content outside Twig blocks. Did you forget to put the content inside a {% block %} tag? {"file":"\/var\/www\/html\/collab\/app\/views\/Admin\/editUsers.twig","line":2,"trace":"#0 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(342): Twig\\Parser->filterBodyNodes()\n#1 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Parser.php(86): Twig\\Parser->filterBodyNodes()\n#2 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(479): Twig\\Parser->parse()\n#3 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(507): Twig\\Environment->parse()\n#4 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(348): Twig\\Environment->compileSource()\n#5 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(309): Twig\\Environment->loadTemplate()\n#6 \/var\/www\/html\/collab\/vendor\/twig\/twig\/src\/Environment.php(277): Twig\\Environment->load()\n#7 \/var\/www\/html\/collab\/app\/Core\/Controller.php(28): Twig\\Environment->render()\n#8 \/var\/www\/html\/collab\/app\/Controllers\/AdminController.php(14): App\\Core\\Controller->render()\n#9 \/var\/www\/html\/collab\/app\/Core\/Router.php(81): App\\Controllers\\AdminController->UpdateUser()\n#10 \/var\/www\/html\/collab\/public\/index.php(31): App\\Core\\Router->dispatch()\n#11 {main}"}
